Date,Open,High,Low,Close,Adj Close,Volume
2009-01-02,12.170000,12.850000,12.120000,12.850000,12.850000,9514600
2009-01-05,12.720000,13.010000,12.390000,12.860000,12.860000,11989900
2009-01-06,12.960000,13.240000,12.880000,13.000000,13.000000,10056000
2009-01-07,12.710000,13.160000,12.450000,12.710000,12.710000,24995900
2009-01-08,12.370000,13.070000,12.310000,13.070000,13.070000,14355000
2009-01-09,13.420000,13.560000,12.900000,13.130000,13.130000,19281000
2009-01-12,13.090000,13.100000,12.080000,12.220000,12.220000,19976900
2009-01-13,12.090000,12.790000,11.780000,12.100000,12.100000,25720400
2009-01-14,12.260000,12.530000,11.810000,12.410000,12.410000,23595200
2009-01-15,12.320000,12.350000,11.220000,11.610000,11.610000,25247500
2009-01-16,11.870000,11.970000,11.440000,11.590000,11.590000,24783700
2009-01-20,11.720000,11.800000,11.010000,11.010000,11.010000,18692000
2009-01-21,11.170000,11.590000,11.080000,11.590000,11.590000,15892200
2009-01-22,11.350000,11.510000,10.900000,11.280000,11.280000,17201700
2009-01-23,10.900000,11.550000,10.860000,11.320000,11.320000,15864000
2009-01-26,11.260000,11.280000,10.810000,11.170000,11.170000,16469800
2009-01-27,11.200000,11.370000,10.850000,11.340000,11.340000,33708200
2009-01-28,12.230000,12.380000,11.920000,12.240000,12.240000,35686800
2009-01-29,12.020000,12.240000,11.730000,11.740000,11.740000,22124100
2009-01-30,11.860000,12.150000,11.510000,11.730000,11.730000,21508900
2009-02-02,11.500000,12.320000,11.490000,12.150000,12.150000,21223000
2009-02-03,12.300000,12.710000,12.010000,12.680000,12.680000,18669700
2009-02-04,12.670000,13.230000,12.550000,13.000000,13.000000,22933800
2009-02-05,12.930000,13.520000,12.850000,13.510000,13.510000,17566800
2009-02-06,13.410000,13.840000,13.200000,13.630000,13.630000,17594600
2009-02-09,13.590000,14.000000,13.470000,13.900000,13.900000,15686200
2009-02-10,13.540000,13.900000,12.720000,12.750000,12.750000,24148400
2009-02-11,12.870000,12.910000,12.380000,12.630000,12.630000,13726600
2009-02-12,12.500000,12.660000,12.140000,12.660000,12.660000,15452500
2009-02-13,12.670000,12.990000,12.590000,12.840000,12.840000,11139300
2009-02-17,12.310000,12.580000,12.010000,12.020000,12.020000,15708400
2009-02-18,12.120000,12.530000,12.070000,12.220000,12.220000,12434300
2009-02-19,12.350000,12.590000,11.930000,11.980000,11.980000,12537600
2009-02-20,11.900000,12.270000,11.750000,12.140000,12.140000,16485500
2009-02-23,12.200000,12.350000,11.830000,11.970000,11.970000,16517300
2009-02-24,12.570000,12.860000,12.270000,12.750000,12.750000,22529300
2009-02-25,12.450000,12.790000,12.300000,12.480000,12.480000,16195700
2009-02-26,12.880000,13.390000,12.740000,12.980000,12.980000,26571900
2009-02-27,12.660000,13.330000,12.610000,13.230000,13.230000,20392600
2009-03-02,12.850000,12.970000,12.470000,12.580000,12.580000,20934900
2009-03-03,12.790000,12.870000,12.310000,12.500000,12.500000,16509700
2009-03-04,12.720000,13.490000,12.510000,13.160000,13.160000,24076200
2009-03-05,12.770000,13.070000,12.480000,12.530000,12.530000,18477000
2009-03-06,12.600000,13.180000,12.520000,13.050000,13.050000,30994200
2009-03-09,12.850000,13.450000,12.550000,12.660000,12.660000,23119700
2009-03-10,12.810000,13.400000,12.750000,13.230000,13.230000,22730900
2009-03-11,13.310000,13.500000,13.030000,13.390000,13.390000,17505000
2009-03-12,13.350000,13.600000,13.100000,13.600000,13.600000,16682500
2009-03-13,13.580000,13.640000,13.270000,13.510000,13.510000,12522600
2009-03-16,13.660000,13.660000,13.200000,13.220000,13.220000,19448800
2009-03-17,13.350000,14.040000,13.220000,13.990000,13.990000,16719400
2009-03-18,13.810000,13.950000,13.230000,13.420000,13.420000,26324300
2009-03-19,13.680000,14.140000,13.610000,13.740000,13.740000,25954300
2009-03-20,13.630000,13.870000,13.510000,13.600000,13.600000,22079300
2009-03-23,13.790000,14.120000,13.620000,14.090000,14.090000,18200000
2009-03-24,13.980000,14.020000,13.560000,13.630000,13.630000,17293600
2009-03-25,13.690000,13.880000,13.350000,13.550000,13.550000,16746400
2009-03-26,13.550000,13.610000,13.000000,13.350000,13.350000,24223400
2009-03-27,13.170000,13.610000,13.120000,13.180000,13.180000,22426200
2009-03-30,12.930000,13.140000,12.510000,12.700000,12.700000,16558800
2009-03-31,12.760000,13.100000,12.670000,12.810000,12.810000,12066000
2009-04-01,12.700000,13.120000,12.600000,12.750000,12.750000,14540400
2009-04-02,13.040000,13.140000,12.800000,12.950000,12.950000,28823100
2009-04-03,12.950000,13.390000,12.780000,13.340000,13.340000,18534900
2009-04-06,13.080000,13.240000,12.990000,13.230000,13.230000,11935700
2009-04-07,13.000000,13.100000,12.680000,12.810000,12.810000,12306400
2009-04-08,12.900000,13.010000,12.750000,12.920000,12.920000,11241000
2009-04-09,13.140000,13.590000,13.070000,13.470000,13.470000,17285800
2009-04-13,14.020000,14.540000,13.860000,14.420000,14.420000,35067600
2009-04-14,14.400000,14.420000,14.000000,14.070000,14.070000,15151700
2009-04-15,13.930000,14.090000,13.770000,14.020000,14.020000,12383200
2009-04-16,14.150000,14.530000,14.050000,14.430000,14.430000,19156500
2009-04-17,14.430000,14.520000,14.030000,14.390000,14.390000,19800400
2009-04-20,14.160000,14.250000,13.600000,13.660000,13.660000,13470500
2009-04-21,13.940000,14.590000,13.710000,14.380000,14.380000,54237700
2009-04-22,14.620000,15.390000,14.410000,14.480000,14.480000,65407800
2009-04-23,14.560000,14.740000,14.110000,14.550000,14.550000,32943200
2009-04-24,14.790000,14.940000,14.360000,14.730000,14.730000,25803000
2009-04-27,14.480000,14.550000,13.880000,13.890000,13.890000,22640600
2009-04-28,13.740000,14.050000,13.600000,13.640000,13.640000,18856500
2009-04-29,13.700000,14.350000,13.700000,14.020000,14.020000,16570900
2009-04-30,14.120000,14.600000,14.120000,14.290000,14.290000,25883300
2009-05-01,14.500000,14.500000,13.910000,14.140000,14.140000,23721700
2009-05-04,14.200000,14.250000,13.960000,14.180000,14.180000,25094600
2009-05-05,14.550000,14.990000,14.180000,14.740000,14.740000,35233200
2009-05-06,14.800000,15.000000,14.520000,14.850000,14.850000,19105800
2009-05-07,15.030000,15.100000,14.380000,14.800000,14.800000,24328500
2009-05-08,14.880000,15.300000,14.700000,15.150000,15.150000,22461200
2009-05-11,14.900000,15.830000,14.810000,15.540000,15.540000,39492400
2009-05-12,15.500000,15.500000,14.900000,15.100000,15.100000,31403300
2009-05-13,14.920000,14.950000,14.500000,14.520000,14.520000,23585400
2009-05-14,14.500000,14.860000,14.400000,14.760000,14.760000,20841800
2009-05-15,15.000000,15.100000,14.860000,14.910000,14.910000,22525900
2009-05-18,15.100000,15.180000,14.740000,15.170000,15.170000,18629500
2009-05-19,15.060000,15.340000,15.020000,15.180000,15.180000,13676000
2009-05-20,15.080000,15.310000,14.800000,14.960000,14.960000,15781600
2009-05-21,14.920000,15.120000,14.620000,14.870000,14.870000,15186800
2009-05-22,14.890000,15.170000,14.750000,14.980000,14.980000,19150500
2009-05-26,14.680000,15.440000,14.670000,15.280000,15.280000,19953000
2009-05-27,15.270000,15.530000,14.880000,14.940000,14.940000,18977400
2009-05-28,15.090000,15.240000,14.690000,15.090000,15.090000,19131600
2009-05-29,15.190000,15.840000,15.110000,15.840000,15.840000,29557500
